"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get file","LMS service","Wed Apr 22 00:11:38 UTC 2026","passed","Wed Apr 22 00:11:38 UTC 2026","Get entity","Files","",""
"","333","Update course","LMS service","Wed Apr 22 00:11:31 UTC 2026","passed","Wed Apr 22 00:11:31 UTC 2026","Update entity","Courses","",""
"
Проверяет успешное получение задания по его идентификатору.
","18","Get exercise","LMS service","Wed Apr 22 00:11:35 UTC 2026","passed","Wed Apr 22 00:11:35 UTC 2026","Get entity","Exercises","",""
"","323","Create user","LMS service","Wed Apr 22 00:11:40 UTC 2026","passed","Wed Apr 22 00:11:40 UTC 2026","Create entity","Users","",""
"","295","Create file with empty filename","LMS service","Wed Apr 22 00:11:37 UTC 2026","passed","Wed Apr 22 00:11:38 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Wed Apr 22 00:11:41 UTC 2026","passed","Wed Apr 22 00:11:41 UTC 2026","Get entity","Users","",""
"","327","Delete file","LMS service","Wed Apr 22 00:11:39 UTC 2026","passed","Wed Apr 22 00:11:39 UTC 2026","Delete entity","Files","",""
"","630","Create user","LMS service","Wed Apr 22 00:11:39 UTC 2026","passed","Wed Apr 22 00:11:40 UTC 2026","Create entity","Users","",""
"","26","Create course","LMS service","Wed Apr 22 00:11:32 UTC 2026","passed","Wed Apr 22 00:11:32 UTC 2026","Create entity","Courses","",""
"","628","Create user","LMS service","Wed Apr 22 00:11:40 UTC 2026","passed","Wed Apr 22 00:11:40 UTC 2026","Create entity","Users","",""
"","309","Get file with incorrect file id","LMS service","Wed Apr 22 00:11:40 UTC 2026","passed","Wed Apr 22 00:11:40 UTC 2026","Validate entity","Files","",""
"","339","Get courses","LMS service","Wed Apr 22 00:11:32 UTC 2026","passed","Wed Apr 22 00:11:32 UTC 2026","Get entities","Courses","",""
"
Тест проверяет создание задания
:param exercises_client: ExercisesClient
:param function_course: CourseFixture
","28","Create exercise","LMS service","Wed Apr 22 00:11:34 UTC 2026","passed","Wed Apr 22 00:11:34 UTC 2026","Create entity","Exercises","",""
"
Проверяет успешное обновление задания по его идентификатору.
","19","Update exercise","LMS service","Wed Apr 22 00:11:34 UTC 2026","passed","Wed Apr 22 00:11:34 UTC 2026","Update entity","Exercises","",""
"","622","Login with correct email and password","LMS service","Wed Apr 22 00:11:30 UTC 2026","passed","Wed Apr 22 00:11:31 UTC 2026","Login","Authentication","",""
"","21","Create file","LMS service","Wed Apr 22 00:11:36 UTC 2026","passed","Wed Apr 22 00:11:36 UTC 2026","Create entity","Files","",""
"","295","Create file with empty directory","LMS service","Wed Apr 22 00:11:39 UTC 2026","passed","Wed Apr 22 00:11:39 UTC 2026","Validate entity","Files","",""
"
Проверяет успешное удаление задания по его идентификатору.
","19","Delete exercise","LMS service","Wed Apr 22 00:11:35 UTC 2026","passed","Wed Apr 22 00:11:35 UTC 2026","Delete entity","Exercises","",""
"
Проверяет получение всех заданий
","18","Get exercises","LMS service","Wed Apr 22 00:11:36 UTC 2026","passed","Wed Apr 22 00:11:36 UTC 2026","Get entities","Exercises","",""
