"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Проверяет получение всех заданий
","290","Get exercises","LMS service","Wed Apr 22 01:08:12 UTC 2026","passed","Wed Apr 22 01:08:12 UTC 2026","Get entities","Exercises","",""
"
Проверяет успешное получение задания по его идентификатору.
","18","Get exercise","LMS service","Wed Apr 22 01:08:11 UTC 2026","passed","Wed Apr 22 01:08:11 UTC 2026","Get entity","Exercises","",""
"","29","Create course","LMS service","Wed Apr 22 01:08:09 UTC 2026","passed","Wed Apr 22 01:08:09 UTC 2026","Create entity","Courses","",""
"","26","Get courses","LMS service","Wed Apr 22 01:08:08 UTC 2026","passed","Wed Apr 22 01:08:08 UTC 2026","Get entities","Courses","",""
"","266","Create file with empty filename","LMS service","Wed Apr 22 01:08:13 UTC 2026","passed","Wed Apr 22 01:08:14 UTC 2026","Validate entity","Files","",""
"","13","Get user me","LMS service","Wed Apr 22 01:08:17 UTC 2026","passed","Wed Apr 22 01:08:17 UTC 2026","Get entity","Users","",""
"","14","Get file","LMS service","Wed Apr 22 01:08:13 UTC 2026","passed","Wed Apr 22 01:08:13 UTC 2026","Get entity","Files","",""
"","308","Update course","LMS service","Wed Apr 22 01:08:08 UTC 2026","passed","Wed Apr 22 01:08:08 UTC 2026","Update entity","Courses","",""
"","558","Create user","LMS service","Wed Apr 22 01:08:15 UTC 2026","passed","Wed Apr 22 01:08:16 UTC 2026","Create entity","Users","",""
"","21","Delete file","LMS service","Wed Apr 22 01:08:15 UTC 2026","passed","Wed Apr 22 01:08:15 UTC 2026","Delete entity","Files","",""
"","263","Create file with empty directory","LMS service","Wed Apr 22 01:08:14 UTC 2026","passed","Wed Apr 22 01:08:14 UTC 2026","Validate entity","Files","",""
"","555","Login with correct email and password","LMS service","Wed Apr 22 01:08:07 UTC 2026","passed","Wed Apr 22 01:08:07 UTC 2026","Login","Authentication","",""
"","558","Create user","LMS service","Wed Apr 22 01:08:15 UTC 2026","passed","Wed Apr 22 01:08:16 UTC 2026","Create entity","Users","",""
"
Тест проверяет создание задания
:param exercises_client: ExercisesClient
:param function_course: CourseFixture
","22","Create exercise","LMS service","Wed Apr 22 01:08:09 UTC 2026","passed","Wed Apr 22 01:08:09 UTC 2026","Create entity","Exercises","",""
"
Проверяет успешное обновление задания по его идентификатору.
","292","Update exercise","LMS service","Wed Apr 22 01:08:10 UTC 2026","passed","Wed Apr 22 01:08:10 UTC 2026","Update entity","Exercises","",""
"
Проверяет успешное удаление задания по его идентификатору.
","21","Delete exercise","LMS service","Wed Apr 22 01:08:12 UTC 2026","passed","Wed Apr 22 01:08:12 UTC 2026","Delete entity","Exercises","",""
"","268","Get file with incorrect file id","LMS service","Wed Apr 22 01:08:15 UTC 2026","passed","Wed Apr 22 01:08:15 UTC 2026","Validate entity","Files","",""
"","538","Create user","LMS service","Wed Apr 22 01:08:15 UTC 2026","passed","Wed Apr 22 01:08:15 UTC 2026","Create entity","Users","",""
"","271","Create file","LMS service","Wed Apr 22 01:08:12 UTC 2026","passed","Wed Apr 22 01:08:13 UTC 2026","Create entity","Files","",""
